Year,Total Assets,Revenues,Operating income,Net cash flow by operating activity,Net cash flow by investing activity,Net cash flow by financial activity,Headcount,Attrition rate,Net cash flow ,Operating Margin,Net income,Income after tax,Current Assets,Current Liabilities,Total Liabilities,Total Equity,Predicted revenue,EPS,Dividend,Buybacks,Shares outstanding,Predicted operating margin_ann,Dividend yeild
2019,16204.0,16783.0,2453.0,2499.0,1588.0,-2569.0,289.1,21.75,1484.0,14.61598045641423,1842.0,1900.0,7611.0,2983.0,5182.0,11022.0,0,3.29,0.8,2247.0,560.0,17.0,24.316109422492403
2020,16923.0,16652.0,2114.0,3299.0,-1238.0,-2009.0,346.63,12.5,35.0,12.695171751141004,1392.0,1392.0,6858.0,3540.0,6087.0,10836.0,0,2.57,0.88,1621.0,541.0,15.0,34.24124513618677
2021,17852.0,18507.0,2826.0,2495.0,-2164.0,-1203.0,346.6,27.5,-888.0,16.27,2137.0,2134.0,7342.0,3529.0,5861.0,11991.0,1785,4.05,0.96,771.0,528.0,15.45,23.703703703703706
2022,17852.0,19428.0,2968.0,2568.0,-106.0,-1939.0,311.675,29.0,1492.0,15.2769199094091,2290.0,2286.0,7266.0,3347.0,5543.0,12309.0,2025,4.41,1.08,1422.0,519.0,15.65,24.48979591836735
2023,18483.0,19353.0,2689.0,2330.0,-331.0,-1609.0,286.375,17.75,423.0,13.894486642897741,2126.0,2119.0,7506.0,3333.0,5256.0,13227.0,0,4.21,1.16,1064.0,505.0,14.45,24.8
2024,19120.0,20180.0,2910.0,2615.0,-420.0,-1480.0,301.2,19.5,715.0,14.420218037661051,2310.0,2298.0,7820.0,3410.0,5400.0,13720.0,20650,4.91,1.22,1180.0,498.0,14.8,26.637554585152838
2025,19840.0,21190.0,3185.0,2780.0,-510.0,-1525.0,315.6,18.25,745.0,15.030674846625766,2545.0,2532.0,8090.0,3495.0,5485.0,14355.0,21650,5.02,1.28,1050.0,492.0,15.05,25.498007968127496
