Year,Total Assets,Revenues,Operating income,Net cash flow by operating activity,Net cash flow by investing activity,Net cash flow by financial activity,Headcount,Attrition rate,Net cash flow ,Operating Margin,Net income,Income after tax,Current Assets,Current Liabilities,Total Liabilities,Total Equity,Predicted revenue,EPS,Dividend,Buybacks,Shares outstanding,Predicted operating margin_ann,Dividend yeild
2019,16204,16783,2453,2499,1588,-2569,289.1,21.75,1484,14.61598046,1842,1900,7611,2983,5182,11022,0,3.29,0.8,2247,560,17,1.24555458
2020,16923,16652,2114,3299,-1238,-2009,346.63,12.5,35,12.69517175,1392,1392,6858,3540,6087,10836,0,2.57,0.88,1621,541,15,1.366481573
2021,17852,18507,2826,2495,-2164,-1203,346.6,27.5,-888,15.26989788,2137,2134,7342,3529,5861,11991,1785,4.05,0.96,771,528,15.45,1.26848348
2022,17852,19428,2968,2568,-106,-1939,311.675,29,592,15.27691991,2290,2286,7266,3347,5543,12309,2025,4.41,1.08,1422,519,15.65,1.537278328
2023,18483,19353,2689,2330,-331,-1609,286.375,17.75,423,13.89448664,2126,2119,7506,3333,5256,13227,0,4.21,1.16,1064,505,14.45,1.724740343
2024,,,,,,,,,,,,,,,,,1940,,,,,,
